M,theta,beta_lower,beta_upper
7.000000,22.000000,29.657670,84.543872
7.000000,23.000000,30.871236,84.237587
7.000000,24.000000,32.100573,83.921367
7.000000,25.000000,33.346211,83.594148
7.000000,26.000000,34.608890,83.254714
7.000000,27.000000,35.889579,82.901667
7.000000,28.000000,37.189520,82.533389
7.000000,29.000000,38.510268,82.147983
7.000000,30.000000,39.853762,81.743204
7.000000,31.000000,41.222416,81.316365
7.000000,32.000000,42.619246,80.864201
7.000000,33.000000,44.048057,80.382687
7.000000,34.000000,45.513710,79.866758
7.000000,35.000000,47.022534,79.309904
7.000000,36.000000,48.582965,78.703522
7.000000,37.000000,50.206617,78.035847
7.000000,38.000000,51.910162,77.290071
7.000000,39.000000,53.718949,76.440718
7.000000,40.000000,55.674846,75.445808
7.000000,41.000000,57.856451,74.226636
7.000000,42.000000,60.449713,72.597156
7.000000,43.000000,64.284386,69.727527
8.000000,0.000000,7.180756,90.000000
8.000000,1.000000,7.815874,89.780913
8.000000,2.000000,8.501741,89.561590
8.000000,3.000000,9.236971,89.341794
8.000000,4.000000,10.019345,89.121285
8.000000,5.000000,10.846018,88.899819
8.000000,6.000000,11.713757,88.677147
8.000000,7.000000,12.619161,88.453014
8.000000,8.000000,13.558845,88.227154
8.000000,9.000000,14.529581,87.999295
8.000000,10.000000,15.528385,87.769149
8.000000,11.000000,16.552572,87.536417
8.000000,12.000000,17.599774,87.300784
8.000000,13.000000,18.667942,87.061913
8.000000,14.000000,19.755331,86.819449
8.000000,15.000000,20.860481,86.573012
8.000000,16.000000,21.982196,86.322192
8.000000,17.000000,23.119516,86.066546
8.000000,18.000000,24.271704,85.805596
8.000000,19.000000,25.438221,85.538819
8.000000,20.000000,26.618719,85.265640
8.000000,21.000000,27.813021,84.985427
8.000000,22.000000,29.021124,84.697481
8.000000,23.000000,30.243192,84.401020
8.000000,24.000000,31.479560,84.095169
8.000000,25.000000,32.730737,83.778940
8.000000,26.000000,33.997428,83.451208
8.000000,27.000000,35.280547,83.110689
8.000000,28.000000,36.581250,82.755896
8.000000,29.000000,37.900973,82.385101
8.000000,30.000000,39.241490,81.996268
8.000000,31.000000,40.604992,81.586974
8.000000,32.000000,41.994189,81.154300
8.000000,33.000000,43.412465,80.694674
8.000000,34.000000,44.864095,80.203653
8.000000,35.000000,46.354573,79.675591
8.000000,36.000000,47.891107,79.103143
8.000000,37.000000,49.483426,78.476454
8.000000,38.000000,51.145151,77.781792
8.000000,39.000000,52.896303,76.999032
8.000000,40.000000,54.768373,76.096590
8.000000,41.000000,56.816115,75.019625
8.000000,42.000000,59.151746,73.655844
8.000000,43.000000,62.097055,71.683384
